x-axis,1,2,3
second,Volt,Volt,Volt
-2.300000E-03,,,
-2.297500E-03,,,
-2.295000E-03,+47.817211E-03,-9.117446E-03,-7.067512E-03
-2.292500E-03,+47.817211E-03,-9.820960E-03,-6.946908E-03
-2.290000E-03,+46.410171E-03,-6.303367E-03,-7.268517E-03
-2.287500E-03,+47.817211E-03,-7.609914E-03,-7.127813E-03
-2.285000E-03,+47.817211E-03,-8.514423E-03,-7.127813E-03
-2.282500E-03,+45.304648E-03,-11.831022E-03,-7.127813E-03
-2.280000E-03,+47.817211E-03,-6.805877E-03,-6.896656E-03
-2.277500E-03,+46.510654E-03,-9.117446E-03,-6.625300E-03
-2.275000E-03,+47.817211E-03,-12.132548E-03,-6.474545E-03
-2.272500E-03,+43.897628E-03,-12.735551E-03,-6.233342E-03
-2.270000E-03,+46.008182E-03,-10.524514E-03,-6.444398E-03
-2.267500E-03,+45.606173E-03,-7.207934E-03,-6.595148E-03
-2.265000E-03,+47.716728E-03,-14.142571E-03,-6.374044E-03
-2.262500E-03,+46.812228E-03,-11.630008E-03,-6.072539E-03
-2.260000E-03,+44.400148E-03,-11.630008E-03,-6.534850E-03
-2.257500E-03,+45.405102E-03,-12.936517E-03,-6.243393E-03
-2.255000E-03,+43.596131E-03,-12.434054E-03,-6.374044E-03
-2.252500E-03,+44.902610E-03,-14.544609E-03,-6.544893E-03
-2.250000E-03,+45.304619E-03,-11.629979E-03,-6.122791E-03
-2.247500E-03,+45.706627E-03,-11.630008E-03,-6.374044E-03
-2.245000E-03,+46.209234E-03,-11.630008E-03,-6.544902E-03
-2.242500E-03,+46.611214E-03,-11.630008E-03,-6.745900E-03
-2.240000E-03,+46.209205E-03,-12.534566E-03,-6.625300E-03
-2.237500E-03,+45.304648E-03,-13.640022E-03,-6.374044E-03
-2.235000E-03,+47.616129E-03,-11.730549E-03,-6.132842E-03
-2.232500E-03,+45.304648E-03,-11.931476E-03,-6.092641E-03
-2.230000E-03,+47.817211E-03,-9.820922E-03,-4.796159E-03
-2.227500E-03,+49.224289E-03,-11.630008E-03,-4.333835E-03
-2.225000E-03,+48.822280E-03,-11.127585E-03,-4.514743E-03
-2.222500E-03,+47.817211E-03,-11.630008E-03,-4.735862E-03
-2.220000E-03,+47.817211E-03,-9.117446E-03,-4.846401E-03
-2.217500E-03,+50.128817E-03,-14.142571E-03,-4.595155E-03
-2.215000E-03,+48.420175E-03,-11.630008E-03,-4.424290E-03
-2.212500E-03,+50.329773E-03,-11.630008E-03,-4.715747E-03
-2.210000E-03,+52.842336E-03,-11.630008E-03,-5.228321E-03
-2.207500E-03,+51.033346E-03,-10.926436E-03,-5.439376E-03
-2.205000E-03,+50.329773E-03,-13.841007E-03,-5.680588E-03
-2.202500E-03,+50.329773E-03,-11.630008E-03,-5.630320E-03
-2.200000E-03,+52.339883E-03,-11.630008E-03,-6.323799E-03
-2.197500E-03,+49.425312E-03,-10.021907E-03,-6.052424E-03
-2.195000E-03,+50.329773E-03,-11.529632E-03,-5.881569E-03
-2.192500E-03,+50.329773E-03,-10.825924E-03,-6.122788E-03
-2.190000E-03,+50.329773E-03,-9.117446E-03,-6.836349E-03
-2.187500E-03,+52.842269E-03,-14.142504E-03,-6.876550E-03
-2.185000E-03,+52.440395E-03,-12.031949E-03,-6.454432E-03
-2.182500E-03,+52.038387E-03,-12.433958E-03,-6.715767E-03
-2.180000E-03,+50.329773E-03,-11.630008E-03,-6.504705E-03
-2.177500E-03,+52.842336E-03,-10.022042E-03,-6.876557E-03
-2.175000E-03,+55.354899E-03,-12.132596E-03,-7.127813E-03
-2.172500E-03,+52.741757E-03,-11.630008E-03,-7.127813E-03
-2.170000E-03,+52.540907E-03,-11.630008E-03,-7.127813E-03
-2.167500E-03,+53.545774E-03,-12.735696E-03,-7.379069E-03
-2.165000E-03,+55.053229E-03,-12.735455E-03,-7.630325E-03
-2.162500E-03,+53.344683E-03,-10.624900E-03,-7.781071E-03
-2.160000E-03,+55.354899E-03,-9.117446E-03,-7.570016E-03
-2.157500E-03,+52.842336E-03,-9.117446E-03,-7.379069E-03
-2.155000E-03,+50.329773E-03,-11.429091E-03,-7.630325E-03
-2.152500E-03,+50.329773E-03,-8.514520E-03,-7.630325E-03
-2.150000E-03,+54.349964E-03,-11.630008E-03,-7.982075E-03
-2.147500E-03,+52.842336E-03,-10.524388E-03,-8.243400E-03
-2.145000E-03,+55.354899E-03,-10.222786E-03,-8.203199E-03
-2.142500E-03,+57.264256E-03,-11.630008E-03,-8.132838E-03
-2.140000E-03,+52.942742E-03,-9.117446E-03,-7.630325E-03
-2.137500E-03,+53.344750E-03,-7.107297E-03,-7.831340E-03
-2.135000E-03,+55.354899E-03,-10.021868E-03,-7.881582E-03
-2.132500E-03,+51.636204E-03,-10.323577E-03,-7.630325E-03
-2.130000E-03,+52.842336E-03,-9.117446E-03,-7.379069E-03
-2.127500E-03,+50.329773E-03,-9.519560E-03,-7.419281E-03
-2.125000E-03,+52.842230E-03,-11.629902E-03,-7.379069E-03
-2.122500E-03,+50.329773E-03,-13.338766E-03,-7.127813E-03
-2.120000E-03,+51.133684E-03,-13.338660E-03,-7.379069E-03
-2.117500E-03,+51.535693E-03,-10.323365E-03,-6.997149E-03
-2.115000E-03,+50.329773E-03,-10.725373E-03,-6.946886E-03
-2.112500E-03,+48.822463E-03,-13.137318E-03,-6.876557E-03
-2.110000E-03,+52.741718E-03,-9.218063E-03,-7.117751E-03
-2.107500E-03,+52.842336E-03,-9.418836E-03,-6.655439E-03
-2.105000E-03,+51.033172E-03,-11.630008E-03,-6.374044E-03
-2.102500E-03,+51.435181E-03,-10.524601E-03,-6.263503E-03
-2.100000E-03,+52.842336E-03,-7.610029E-03,-6.072561E-03
-2.097500E-03,+49.726635E-03,-11.630008E-03,-6.434358E-03
-2.095000E-03,+48.018340E-03,-11.630008E-03,-6.645413E-03
-2.092500E-03,+48.018089E-03,-11.429130E-03,-7.107725E-03
-2.090000E-03,+51.636561E-03,-13.539684E-03,-6.565012E-03
-2.087500E-03,+46.812315E-03,-14.142571E-03,-6.524811E-03
-2.085000E-03,+46.410306E-03,-10.524350E-03,-6.735866E-03
-2.082500E-03,+48.520860E-03,-10.926358E-03,-6.876557E-03
-2.080000E-03,+50.028132E-03,-15.750210E-03,-6.595136E-03
-2.077500E-03,+45.505382E-03,-11.630008E-03,-6.122788E-03
-2.075000E-03,+49.325022E-03,-11.127633E-03,-5.720750E-03
-2.072500E-03,+49.425389E-03,-11.630008E-03,-6.122788E-03
-2.070000E-03,+47.716988E-03,-10.323616E-03,-6.122788E-03
-2.067500E-03,+44.400408E-03,-9.921607E-03,-5.781108E-03
-2.065000E-03,+48.219364E-03,-11.630008E-03,-5.871532E-03
-2.062500E-03,+47.817211E-03,-9.117590E-03,-6.374044E-03
-2.060000E-03,+45.706512E-03,-7.006747E-03,-6.042415E-03
-2.057500E-03,+45.304648E-03,-10.725190E-03,-6.213270E-03
-2.055000E-03,+47.817211E-03,-11.630008E-03,-6.374044E-03
-2.052500E-03,+45.304648E-03,-10.926793E-03,-6.303723E-03
-2.050000E-03,+47.314546E-03,-8.614781E-03,-6.424311E-03
-2.047500E-03,+45.304648E-03,-11.529352E-03,-7.117747E-03
-2.045000E-03,+47.515859E-03,-9.418798E-03,-6.404179E-03
-2.042500E-03,+45.304648E-03,-11.630008E-03,-6.444380E-03
-2.040000E-03,+44.199279E-03,-8.815621E-03,-6.514763E-03
-2.037500E-03,+47.817211E-03,-8.112260E-03,-6.524782E-03
-2.035000E-03,+45.304648E-03,-7.208060E-03,-6.816239E-03
-2.032500E-03,+45.304648E-03,-11.227672E-03,-6.625300E-03
-2.030000E-03,+50.128933E-03,-11.228328E-03,-6.605216E-03
-2.027500E-03,+45.907496E-03,-6.604883E-03,-6.565016E-03
-2.025000E-03,+47.817211E-03,-9.117446E-03,-7.127813E-03
-2.022500E-03,+46.410345E-03,-11.630008E-03,-6.876557E-03
-2.020000E-03,+47.817211E-03,-10.926320E-03,-6.303675E-03
-2.017500E-03,+45.606328E-03,-11.630008E-03,-6.625300E-03
-2.015000E-03,+47.716882E-03,-9.217774E-03,-6.384077E-03
-2.012500E-03,+50.329773E-03,-9.619783E-03,-6.424278E-03
-2.010000E-03,+46.912865E-03,-10.725663E-03,-6.283610E-03
-2.007500E-03,+49.023419E-03,-9.117446E-03,-6.625300E-03
-2.005000E-03,+46.108848E-03,-9.921646E-03,-6.544880E-03
-2.002500E-03,+48.219402E-03,-9.117446E-03,-6.374044E-03
-2.000000E-03,+45.305014E-03,-9.117996E-03,-6.122769E-03
-1.997500E-03,+52.440511E-03,-13.740746E-03,-6.162970E-03
-1.995000E-03,+50.329773E-03,-12.534904E-03,-6.625300E-03
-1.992500E-03,+49.123931E-03,-14.243450E-03,-6.755972E-03
-1.990000E-03,+49.425061E-03,-11.630008E-03,-7.037342E-03
-1.987500E-03,+50.329773E-03,-13.639868E-03,-7.127813E-03
-1.985000E-03,+50.329773E-03,-9.218141E-03,-7.137882E-03
-1.982500E-03,+47.817211E-03,-9.418759E-03,-6.936819E-03
-1.980000E-03,+47.817211E-03,-11.630008E-03,-6.806224E-03
-1.977500E-03,+48.922541E-03,-10.524678E-03,-6.846366E-03
-1.975000E-03,+47.817211E-03,-10.624784E-03,-6.776034E-03
-1.972500E-03,+47.213995E-03,-11.630008E-03,-7.007170E-03
-1.970000E-03,+48.018417E-03,-11.428801E-03,-6.645421E-03
-1.967500E-03,+50.329773E-03,-8.916644E-03,-6.414204E-03
-1.965000E-03,+47.817211E-03,-14.142571E-03,-6.876557E-03
-1.962500E-03,+48.822029E-03,-10.625190E-03,-6.725782E-03
-1.960000E-03,+48.922946E-03,-9.418537E-03,-6.765983E-03
-1.957500E-03,+49.626046E-03,-10.926281E-03,-6.876557E-03
-1.955000E-03,+50.028055E-03,-4.997476E-03,-6.625300E-03
-1.952500E-03,+45.505227E-03,-9.017156E-03,-6.384073E-03
-1.950000E-03,+47.817211E-03,-9.619744E-03,-6.424274E-03
-1.947500E-03,+48.721517E-03,-5.700576E-03,-5.640311E-03
-1.945000E-03,+49.023458E-03,-10.323693E-03,-5.740900E-03
-1.942500E-03,+49.525534E-03,-7.409122E-03,-5.459427E-03
