x-axis,1,2,3
second,Volt,Volt,Volt
-2.300000E-03,,,
-2.297500E-03,,,
-2.295000E-03,+446.578190E-03,-18.564684E-03,-15.168014E-03
-2.292500E-03,+447.804320E-03,-21.680260E-03,-15.921783E-03
-2.290000E-03,+450.869650E-03,-21.680260E-03,-17.851432E-03
-2.287500E-03,+453.764119E-03,-25.700354E-03,-17.529823E-03
-2.285000E-03,+454.336981E-03,-26.705385E-03,-18.997160E-03
-2.282500E-03,+453.301809E-03,-24.393836E-03,-20.233342E-03
-2.280000E-03,+453.532962E-03,-29.016953E-03,-21.660478E-03
-2.277500E-03,+456.467638E-03,-26.102382E-03,-23.710727E-03
-2.275000E-03,+455.171155E-03,-30.725499E-03,-24.012238E-03
-2.272500E-03,+453.603306E-03,-30.624968E-03,-24.213240E-03
-2.270000E-03,+450.326923E-03,-29.217948E-03,-24.575046E-03
-2.267500E-03,+444.005312E-03,-29.519474E-03,-23.650422E-03
-2.265000E-03,+441.472658E-03,-29.217948E-03,-22.956958E-03
-2.262500E-03,+447.432484E-03,-31.730511E-03,-23.911734E-03
-2.260000E-03,+465.311889E-03,-39.268199E-03,-23.549921E-03
-2.257500E-03,+468.216378E-03,-40.474253E-03,-21.931843E-03
-2.255000E-03,+471.854571E-03,-36.755636E-03,-23.951941E-03
-2.252500E-03,+475.201310E-03,-37.157674E-03,-26.353935E-03
-2.250000E-03,+472.608331E-03,-36.755636E-03,-26.474546E-03
-2.247500E-03,+469.633462E-03,-34.243073E-03,-27.650432E-03
-2.245000E-03,+465.894759E-03,-36.755636E-03,-27.570030E-03
-2.242500E-03,+469.492779E-03,-33.037077E-03,-29.992134E-03
-2.240000E-03,+467.814359E-03,-35.147631E-03,-28.554941E-03
-2.237500E-03,+464.819377E-03,-30.223046E-03,-27.479572E-03
-2.235000E-03,+461.291753E-03,-34.041992E-03,-28.484597E-03
-2.232500E-03,+459.010354E-03,-31.429043E-03,-27.730828E-03
-2.230000E-03,+455.985212E-03,-29.217948E-03,-27.549919E-03
-2.227500E-03,+451.864617E-03,-27.810870E-03,-26.444387E-03
-2.225000E-03,+453.010372E-03,-31.730511E-03,-23.660463E-03
-2.222500E-03,+457.211369E-03,-28.614887E-03,-20.072527E-03
-2.220000E-03,+457.512858E-03,-29.217948E-03,-20.524817E-03
-2.217500E-03,+459.020405E-03,-29.619860E-03,-21.007195E-03
-2.215000E-03,+459.171164E-03,-33.640109E-03,-22.705702E-03
-2.212500E-03,+458.286732E-03,-32.735484E-03,-23.710727E-03
-2.210000E-03,+455.080680E-03,-30.323529E-03,-24.353938E-03
-2.207500E-03,+452.799278E-03,-29.217948E-03,-23.137857E-03
-2.205000E-03,+451.784225E-03,-29.217948E-03,-23.429315E-03
-2.202500E-03,+450.015364E-03,-29.318392E-03,-22.705702E-03
-2.200000E-03,+448.487737E-03,-31.730511E-03,-23.157970E-03
-2.197500E-03,+446.135984E-03,-32.634972E-03,-23.961984E-03
-2.195000E-03,+448.377165E-03,-31.730511E-03,-22.585093E-03
-2.192500E-03,+446.467656E-03,-32.534595E-03,-23.539880E-03
-2.190000E-03,+448.407322E-03,-31.730511E-03,-24.504704E-03
-2.187500E-03,+447.733968E-03,-29.218015E-03,-25.469508E-03
-2.185000E-03,+448.196287E-03,-29.619889E-03,-25.680583E-03
-2.182500E-03,+444.799288E-03,-26.705385E-03,-26.645408E-03
-2.180000E-03,+442.598311E-03,-26.705385E-03,-26.615272E-03
-2.177500E-03,+443.120896E-03,-25.097419E-03,-27.137856E-03
-2.175000E-03,+439.191217E-03,-23.690234E-03,-26.725803E-03
-2.172500E-03,+436.146006E-03,-24.293402E-03,-26.705687E-03
-2.170000E-03,+435.683780E-03,-24.192822E-03,-26.444403E-03
-2.167500E-03,+434.517848E-03,-20.976822E-03,-26.766028E-03
-2.165000E-03,+434.316964E-03,-17.760580E-03,-27.258482E-03
-2.162500E-03,+442.608415E-03,-15.147679E-03,-25.921799E-03
-2.160000E-03,+447.713935E-03,-14.142571E-03,-27.791138E-03
-2.157500E-03,+452.357127E-03,-17.057316E-03,-27.941866E-03
-2.155000E-03,+456.548030E-03,-24.192822E-03,-26.745894E-03
-2.152500E-03,+456.216389E-03,-24.192822E-03,-23.891605E-03
-2.150000E-03,+457.733995E-03,-23.187888E-03,-20.745876E-03
-2.147500E-03,+456.950021E-03,-20.273317E-03,-21.168032E-03
-2.145000E-03,+458.397266E-03,-19.871308E-03,-22.776063E-03
-2.142500E-03,+455.372111E-03,-19.469300E-03,-21.951933E-03
-2.140000E-03,+457.744057E-03,-21.680260E-03,-24.444415E-03
-2.137500E-03,+458.537988E-03,-20.675431E-03,-22.404205E-03
-2.135000E-03,+455.814310E-03,-18.263274E-03,-23.027330E-03
-2.132500E-03,+453.784179E-03,-17.961565E-03,-23.831340E-03
-2.130000E-03,+450.939926E-03,-14.142571E-03,-23.710727E-03
-2.127500E-03,+446.437475E-03,-16.655134E-03,-23.459471E-03
-2.125000E-03,+445.472640E-03,-14.142571E-03,-23.710706E-03
-2.122500E-03,+443.713868E-03,-13.740669E-03,-21.821248E-03
-2.120000E-03,+442.216413E-03,-12.433919E-03,-19.429288E-03
-2.117500E-03,+441.824409E-03,-12.835928E-03,-18.946930E-03
-2.115000E-03,+440.266609E-03,-13.237936E-03,-19.188114E-03
-2.112500E-03,+439.040467E-03,-11.127382E-03,-16.977070E-03
-2.110000E-03,+438.688742E-03,-11.529390E-03,-18.444407E-03
-2.107500E-03,+437.713856E-03,-9.117446E-03,-19.439371E-03
-2.105000E-03,+437.432461E-03,-9.117446E-03,-18.866518E-03
-2.102500E-03,+439.030523E-03,-5.197728E-03,-20.977083E-03
-2.100000E-03,+439.693706E-03,-4.092320E-03,-22.203190E-03
-2.097500E-03,+437.231517E-03,-6.604883E-03,-22.333818E-03
-2.095000E-03,+441.894735E-03,-6.604883E-03,-20.213252E-03
-2.092500E-03,+441.995250E-03,-6.404004E-03,-20.735828E-03
-2.090000E-03,+438.738930E-03,-2.182645E-03,-19.941883E-03
-2.087500E-03,+436.125902E-03,-4.595091E-03,-21.499698E-03
-2.085000E-03,+436.427436E-03,-8.011787E-03,-21.117723E-03
-2.082500E-03,+441.512969E-03,-2.283407E-03,-18.082521E-03
-2.080000E-03,+452.216474E-03,-6.303241E-03,-12.846379E-03
-2.077500E-03,+452.789204E-03,-6.404149E-03,-13.147927E-03
-2.075000E-03,+452.055562E-03,-4.594696E-03,-14.916758E-03
-2.072500E-03,+447.181135E-03,-4.092320E-03,-14.755940E-03
-2.070000E-03,+443.603273E-03,-7.811053E-03,-13.288603E-03
-2.067500E-03,+446.879768E-03,-9.117446E-03,-11.901682E-03
-2.065000E-03,+447.904794E-03,-8.715292E-03,-11.690641E-03
-2.062500E-03,+445.975232E-03,-9.117590E-03,-11.147899E-03
-2.060000E-03,+444.085683E-03,-7.408610E-03,-11.610240E-03
-2.057500E-03,+441.281692E-03,-8.212627E-03,-11.559944E-03
-2.055000E-03,+440.437456E-03,-7.911565E-03,-11.017245E-03
-2.052500E-03,+439.392335E-03,-13.237898E-03,-11.580104E-03
-2.050000E-03,+441.452637E-03,-9.117446E-03,-13.761009E-03
-2.047500E-03,+444.226446E-03,-11.730665E-03,-14.122726E-03
-2.045000E-03,+443.020369E-03,-11.931360E-03,-11.710696E-03
-2.042500E-03,+439.904775E-03,-11.630008E-03,-10.896657E-03
-2.040000E-03,+445.472662E-03,-17.760503E-03,-11.399170E-03
-2.037500E-03,+447.834567E-03,-16.655134E-03,-9.137783E-03
-2.035000E-03,+451.120935E-03,-23.589646E-03,-7.509690E-03
-2.032500E-03,+453.472629E-03,-24.393991E-03,-6.333810E-03
-2.030000E-03,+452.759094E-03,-26.705385E-03,-6.585132E-03
-2.027500E-03,+453.261606E-03,-28.012250E-03,-5.429304E-03
-2.025000E-03,+451.352042E-03,-26.705385E-03,-6.725870E-03
-2.022500E-03,+452.115895E-03,-28.112251E-03,-7.157930E-03
-2.020000E-03,+452.186212E-03,-24.192822E-03,-6.444413E-03
-2.017500E-03,+450.276699E-03,-26.403705E-03,-5.027259E-03
-2.015000E-03,+448.005290E-03,-24.192822E-03,-3.610225E-03
-2.012500E-03,+449.794340E-03,-26.203048E-03,-3.660459E-03
-2.010000E-03,+452.688707E-03,-27.609731E-03,-5.781097E-03
-2.007500E-03,+450.135925E-03,-26.705385E-03,-6.112773E-03
-2.005000E-03,+454.919988E-03,-29.217948E-03,-9.549960E-03
-2.002500E-03,+454.105755E-03,-22.484643E-03,-8.967045E-03
-2.000000E-03,+455.271638E-03,-26.705202E-03,-10.896584E-03
-1.997500E-03,+455.563095E-03,-26.705385E-03,-8.213203E-03
-1.995000E-03,+454.678654E-03,-25.901551E-03,-7.549942E-03
-1.992500E-03,+452.618334E-03,-26.705385E-03,-7.992078E-03
-1.990000E-03,+454.266631E-03,-22.584972E-03,-8.243467E-03
-1.987500E-03,+453.965200E-03,-19.670400E-03,-10.745942E-03
-1.985000E-03,+457.854706E-03,-24.293517E-03,-12.675590E-03
-1.982500E-03,+460.548038E-03,-24.192822E-03,-14.293720E-03
-1.980000E-03,+462.457684E-03,-26.002063E-03,-16.896735E-03
-1.977500E-03,+462.889688E-03,-24.192822E-03,-16.002126E-03
-1.975000E-03,+462.960079E-03,-26.203270E-03,-15.570004E-03
-1.972500E-03,+460.869586E-03,-29.217948E-03,-14.042346E-03
-1.970000E-03,+458.598350E-03,-26.504178E-03,-11.610185E-03
-1.967500E-03,+460.718974E-03,-26.705385E-03,-13.057563E-03
-1.965000E-03,+463.754089E-03,-21.680260E-03,-15.358989E-03
-1.962500E-03,+465.221426E-03,-25.197641E-03,-15.017239E-03
-1.960000E-03,+467.553105E-03,-30.323684E-03,-13.690585E-03
-1.957500E-03,+467.402331E-03,-28.514221E-03,-12.765962E-03
-1.955000E-03,+466.206245E-03,-28.916229E-03,-11.338826E-03
-1.952500E-03,+462.346948E-03,-29.117658E-03,-10.685517E-03
-1.950000E-03,+460.799295E-03,-26.705385E-03,-10.544941E-03
-1.947500E-03,+460.728900E-03,-24.192822E-03,-11.811252E-03
-1.945000E-03,+456.537945E-03,-26.705385E-03,-11.771051E-03
-1.942500E-03,+452.337005E-03,-21.680260E-03,-11.730850E-03
