source,image,lens,gridsize,lens-code
88,57.8,79,8.78,4.1
88,,79,,4.1
88,,79,,4.1
88,64,78,5.24,4.2
88,,78,,4.2
88,,78,,4.2
88,67,77,3.73,4.3
88,,77,,4.3
88,,77,,4.3
88,66.9,76,3.06,4.4
88,,76,,4.4
88,,76,,4.4
88,67.6,75,1.57,4.5
88,,75,,4.5
88,,75,,4.5
