obs,color,reading
1,red,7.53
2,red,7.5
3,red,7.65
1,blue,12
2,blue,12.05
3,blue,12.03
1,violet1,13.24
2,violet1,13.24
3,violet1,13.3
1,violet2,13.6
2,violet2,13.61
3,violet2,13.65
