source,image,lens,gridsize,lens-code
88,61.3,78.6,7.88,4.1
88,61.7,78.6,7.33,4.1
88,62.5,78.6,6.7,4.1
88,50.9,79.5,13.89,4.1
88,,79.5,,4.1
88,,79.5,,4.1
88,,77,3.68,4.1
88,,77,,4.1
88,,77,,4.1
88,,76,3.55,4.1
88,,76,,4.1
88,,76,,4.1
88,67,75,2.24,4.1
88,,75,,4.1
88,,75,,4.1
