source,image,lens,gridsize,lens-code
88,57.3,79,10.6,4.1
88,,79,,4.1
88,,79,,4.1
88,61.6,78,6.68,4.1
88,,78,,4.1
88,,78,,4.1
88,63.9,77,5.28,4.1
88,,77,,4.1
88,,77,,4.1
88,67.2,76,3.21,4.1
88,,76,,4.1
88,,76,,4.1
88,67,75,2.85,4.1
88,,75,,4.1
88,,75,,4.1
